@relation 'FinalSampleData-weka.filters.unsupervised.attribute.Remove-R2-3,6-7,14,16-19,21-22,24-25,28_predicted'

@attribute NMF numeric
@attribute LC numeric
@attribute LC_1 numeric
@attribute NAD numeric
@attribute ' NUC' numeric
@attribute ' AGE' numeric
@attribute ' NMS' numeric
@attribute ' NMD' numeric
@attribute ' Entropy ' numeric
@attribute NDVE numeric
@attribute CFC numeric
@attribute NCC numeric
@attribute NFC numeric
@attribute predicteda2a numeric
@attribute a2a numeric

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
2,21,21,0,81,854,1,2,0.998364,2,3,143,3,99.936609,100
1,1,1,0,17,129,1,1,0,3,0,6,0,99.96937,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
2,86,202,0,14,218,1,2,1,1,0,0,0,99.624311,100
8,104,106,1,29,205,1,5,1.347349,3,14,505,9,99.291165,99.837662
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
1,0,8,0,22,1185,1,1,0,4,0,4,0,99.967686,100
1,1,37,0,22,0,1,1,0,6,1,11,0,99.965783,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
9,1149,1149,9,1,0,1,2,3.052986,1,121,5766,72,98.254319,98.959136
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
1,7,7,0,7,407,1,1,0,4,68,1573,33,99.962707,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
4,78,142,0,13,131,1,2,1.518193,2,13,543,7,99.212748,100
2,10,14,0,11,2617,1,2,0.749595,4,0,18,0,99.918279,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
7,271,277,3,8,39,1,2,2.195529,1,24,1080,10,99.529663,99.53271
2,1,7,0,68,262,1,2,0.863121,5,0,7,0,99.963658,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
2,21,25,0,34,208,1,2,0.79504,4,4,148,1,99.972527,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
2,76,190,0,28,45,1,2,0.547247,1,20,640,6,99.599084,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
2,74,74,0,38,67,1,2,0.753198,4,11,588,4,99.442647,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
5,89,89,0,2,99,1,4,2.32156,1,0,0,0,99.238687,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
6,390,1530,1,41,54,1,4,1.576827,6,59,1914,17,97.492289,99.919549
1,1,3,0,4,407,1,1,0,3,0,2,0,99.965774,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
11,271,319,1,55,225,1,8,2.388923,3,23,1775,8,99.052346,99.83165
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
7,271,277,3,8,39,1,2,2.195529,1,24,1080,10,99.529663,99.53271
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
2,11,19,0,112,176,1,2,0.485461,24,1,39,0,99.832939,100
2,22,30,0,86,2623,1,2,0.881291,2,19,892,14,99.884254,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
7,271,277,3,8,39,1,2,2.195529,1,24,1080,10,99.529663,99.53271
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
2,27,31,0,25,31,1,2,0.907166,1,4,138,1,99.892341,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
4,51,89,0,10,106,1,2,1.535548,1,11,303,4,96.193601,93.776824
24,378,5102,14,17,32,1,6,4.080698,1,60,289,32,94.116798,93.466425
61,66,188,0,18,101,1,9,5.294392,1,0,6,0,92.695444,92.901879
15,24,628,4,18,110,1,3,3.201329,1,2,135,3,97.116601,97.593583
12,641,673,6,14,0,1,4,3.017296,1,56,2544,38,96.74443,96.401028
6,229,239,3,13,26,1,4,1.802371,1,21,1116,17,95.070912,93.995381
2,350,350,2,1,0,1,2,0.994694,1,74,2409,23,96.627758,96.746204
97,2508,8252,33,16,14,1,12,5.434779,1,303,10953,159,82.063722,79.764706
7,59,211,0,24,127,1,5,2.513347,1,8,436,5,87.150572,78.733032
16,17,821,0,22,131,1,4,3.03604,1,11,80,3,92.860086,90.604027
14,592,770,1,21,67,1,5,2.778365,1,114,3432,65,81.646079,74.563591
4,18,34,0,27,16,1,3,1.866197,1,5,86,2,96.85831,94.831014
5,71,331,2,20,36,1,3,1.850495,1,9,176,14,94.411579,92.916667
11,706,754,9,5,49,1,4,3.198549,1,50,3027,30,94.05261,92.635659
10,51,713,1,15,96,1,4,2.431137,1,13,271,7,97.204688,97.610294
4,234,236,2,31,11,1,3,1.017979,1,30,1018,12,96.834498,96.925859
6,334,336,3,7,0,1,3,2.010706,1,24,1664,17,96.967758,96.587031
10,1053,1053,10,5,17,1,2,3.163053,1,94,4550,68,96.622221,95.939086
2,37,41,1,20,87,1,2,0.534944,1,4,102,2,96.553403,96.325879
137,0,4,0,34,131,1,19,?,1,0,0,0,41.824947,22.727273
3,34,42,1,10,19,1,3,0.814227,2,3,92,1,90.675025,84.441088
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,84.638554
12,607,711,7,20,9,1,5,3.470262,3,48,2537,34,97.120726,97.653959
5,236,274,1,12,20,1,4,1.786943,1,32,1155,8,95.249374,94.736842
8,50,128,0,21,11,1,3,2.735846,3,9,217,1,97.403382,96.721311
13,37,195,2,32,55,1,4,3.088504,1,10,198,3,94.84529,93.371212
2,37,37,1,7,34,1,2,0.571355,1,3,135,2,97.508203,97.530864
4,74,146,0,4,65,1,2,1.820613,2,6,435,1,94.222225,91.882353
1,52,52,1,1,0,1,1,0,1,1,233,1,98.196848,97.09596
24,1546,2268,2,37,60,1,6,2.784854,2,190,6669,91,91.722544,90.734055
235,8575,36993,210,21,2,2,33,?,1,944,40066,551,37.896615,24.216524
13,1089,1089,13,1,0,1,2,3.637704,1,104,5198,64,96.227686,95.671476
17,1134,1148,13,30,6,1,6,3.797918,0,105,5323,65,95.437391,95.671476
20,1165,1179,13,31,90,1,7,3.909229,1,110,5516,67,94.62972,95.338513
42,1384,1596,13,33,87,1,12,4.641486,0,173,6639,90,95.324465,95.338513
42,1384,1598,13,34,183,1,12,4.64022,1,173,6639,90,95.246184,95.338513
42,1384,1596,13,33,87,1,12,4.641486,0,173,6639,90,95.324465,95.338513
42,1384,1598,13,34,183,1,12,4.64022,1,173,6639,90,95.246184,95.338513
42,1384,1596,13,33,87,1,12,4.641486,0,173,6639,90,95.324465,95.338513
39,1352,1564,13,34,187,1,10,4.558987,1,172,6555,89,95.259611,95.338513
38,1355,1553,13,33,95,1,9,4.535195,0,172,6576,89,95.351153,95.338513
38,1355,1555,13,34,182,1,9,4.53398,1,172,6576,89,95.354788,95.338513
36,1340,1532,13,33,100,1,8,4.478931,0,170,6494,88,95.3569,95.338513
36,1340,1534,13,34,191,1,8,4.477747,1,170,6494,88,95.360535,95.338513
36,1340,1532,13,33,100,1,8,4.478931,0,170,6494,88,95.3569,95.338513
36,1340,1534,13,34,191,1,8,4.477747,1,170,6494,88,95.360535,95.338513
36,1340,1532,13,33,100,1,8,4.478931,0,170,6494,88,95.3569,95.338513
36,1340,1534,13,34,191,1,8,4.477747,1,170,6494,88,95.360535,95.338513
36,1340,1532,13,33,100,1,8,4.478931,0,170,6494,88,95.3569,95.338513
36,1340,1534,13,34,191,1,8,4.477747,1,170,6494,88,95.360535,95.338513
36,1340,1532,13,33,100,1,8,4.478931,0,170,6494,88,95.3569,95.338513
36,1340,1534,13,34,191,1,8,4.477747,1,170,6494,88,95.360535,95.338513
36,1340,1532,13,33,100,1,8,4.478931,0,170,6494,88,95.3569,95.338513
36,1340,1534,13,34,191,1,8,4.477747,1,170,6494,88,95.360535,95.338513
36,1340,1532,13,33,100,1,8,4.478931,0,170,6494,88,95.3569,95.338513
158,24136,24136,158,25,122,1,22,6.662493,1,3246,118102,1575,63.796137,58.818263
158,24136,24136,158,0,0,1,22,6.662493,0,3246,118102,1575,56.679828,58.818263
36,1340,1534,13,34,191,1,8,4.477747,1,170,6494,88,95.360535,95.338513
36,1340,1532,13,33,100,1,8,4.478931,0,170,6494,88,95.3569,95.338513
36,1340,1534,13,34,191,1,8,4.477747,1,170,6494,88,95.360535,95.338513
29,1566,1682,15,28,128,1,12,4.298146,1,187,7646,101,91.407974,88.830348
3,140,140,1,3,128,1,2,1.140227,1,14,782,12,97.595772,97.979798
4,237,251,2,12,102,1,1,1.648238,1,18,1149,7,92.862968,88.589212
4,635,635,4,1,0,1,2,1.836715,1,59,3086,43,96.811264,96.823869
29,761,1609,10,38,223,1,9,3.920736,1,107,4689,92,92.059819,89.932886
5,385,533,2,7,12,1,2,1.959088,2,28,2182,13,97.056159,97.239915
14,2354,2362,13,20,8,1,3,3.442133,1,184,12072,73,95.16202,94.594595
27,40,320,1,40,145,1,12,4.100905,1,9,82,4,94.376612,93.907746
5,727,751,4,13,35,1,2,1.86184,1,115,3983,60,93.143977,89.167281
9,327,357,3,31,40,1,4,2.695189,0,31,1541,12,91.881192,88.840263
18,826,882,8,32,109,1,8,3.400334,1,71,4290,40,90.864651,88.069414
9,327,357,3,31,40,1,4,2.695189,0,31,1541,12,91.881192,92.445055
11,379,435,3,32,189,1,6,3.043233,3,39,1894,14,93.521369,92.445055
9,323,351,3,7,12,1,4,2.657141,3,32,1433,12,93.60582,92.783505
9,323,353,3,8,185,1,4,2.65741,3,32,1433,12,93.814456,92.783505
11,354,392,3,45,17,1,6,2.966077,3,39,1617,13,93.007505,92.783505
11,354,394,3,46,167,1,6,2.965557,3,39,1617,13,92.90837,92.783505
11,354,392,3,45,17,1,6,2.966077,3,39,1617,13,93.007505,92.783505
11,354,394,3,46,167,1,6,2.965557,3,39,1617,13,92.90837,92.783505
4,225,229,2,23,120,1,3,1.14504,1,17,1263,5,96.835681,97.299169
3,111,143,0,6,256,1,2,0.829066,2,9,677,6,97.750564,97.78086
5,53,83,1,14,418,1,2,1.601367,2,6,183,2,95.920186,93.965517
252,437,475,4,50,389,1,38,?,3,77,2493,27,59.188151,37.285986
10,259,283,1,37,36,1,3,1.903048,3,40,1957,32,93.851272,91.407942
3,57,61,1,15,38,1,2,0.554102,1,1,240,1,93.483585,90.279938
2,81,89,1,26,34,1,2,0.472547,1,10,466,10,94.713788,91.414141
8,84,194,0,28,64,1,3,2.403917,3,19,308,15,96.636203,95.718901
7,52,56,1,37,45,1,5,1.583479,5,4,184,3,94.982635,93.098039
63,33,333,1,51,96,1,23,?,2,0,320,0,86.125626,84.107744
1,460,1408,0,13,143,1,1,0,3,96,2944,43,97.470941,96.376812
5,120,198,1,27,42,1,4,1.891623,1,2,225,1,96.294849,95.884146
20,294,532,2,53,121,1,10,2.412556,1,61,1934,11,91.158273,87.952756
44,1363,2351,5,54,92,1,17,4.078406,3,122,5769,78,92.531856,92.590028
36,117,673,0,55,51,1,12,3.482663,3,12,282,4,93.975456,93.267882
3,40,46,0,19,164,1,2,1.112213,3,5,239,2,96.254791,94.736842
14,1090,1592,4,34,149,1,5,2.779661,3,114,4796,61,93.861303,95.364807
47,2432,3156,12,57,297,1,23,4.676674,1,247,15086,123,93.860963,93.856921
47,2432,3156,12,55,115,1,23,4.676674,1,247,15086,123,93.821888,93.856921
47,2432,3156,12,57,287,1,23,4.676674,1,247,15086,123,93.860963,93.856921
47,2432,3156,12,55,115,1,23,4.676674,1,247,15086,123,93.821888,93.856921
47,2432,3156,12,57,287,1,23,4.676674,1,247,15086,123,93.860963,93.856921
47,2432,3156,12,55,115,1,23,4.676674,1,247,15086,123,93.821888,93.856921
52,2953,3757,16,57,258,1,25,4.864427,1,340,17952,158,93.803332,93.204633
2,128,128,2,1,0,1,2,0.912999,1,9,582,7,93.863553,91.363312
3,111,139,1,18,486,1,2,0.958176,5,11,565,7,95.96602,95.857143
5,315,337,0,16,654,1,3,0.943404,2,37,1626,9,93.841301,91.236749
36,177,457,0,59,364,1,16,4.506325,1,33,1015,11,95.945777,96.135266
44,6208,6208,44,1,0,1,9,5.021741,1,402,26712,268,88.84931,88.841722
2,63,71,1,17,359,1,2,0.507935,1,6,258,5,97.200633,96.83985
8,79,173,1,22,894,1,7,2.034467,2,3,311,3,93.657922,92.403798
5,30,332,1,66,402,1,3,1.788222,5,3,96,4,96.929456,97.209985
7,10,60,0,55,365,1,7,2.290019,1,1,56,1,98.10226,97.414634
2,108,108,2,1,0,1,1,0.999753,1,4,681,2,97.448708,97.224927
3,208,208,2,20,151,1,2,1.03536,1,11,947,8,95.763658,94.371197
10,509,545,4,11,768,1,8,2.986944,2,43,2281,29,95.592323,95.497279
4,340,350,2,4,808,1,3,0.96475,1,59,2015,39,97.15695,97.481343
2,59,61,0,10,456,1,2,0.747394,1,10,374,6,94.064271,91.959799
15,1547,1905,7,57,291,1,5,3.338131,4,270,8332,160,93.5333,93.913779
3,17,21,0,60,980,1,2,1.441167,4,2,133,2,97.274886,96.100583
17,626,680,7,71,535,1,4,3.562158,5,58,2650,30,94.179202,93.253373
23,271,431,0,62,1011,1,8,3.998639,1,32,1479,21,94.729305,93.151815
3,18,20,0,65,1339,1,3,1.440645,1,7,210,1,93.252507,91.227252
6,212,220,2,69,231,1,2,2.152593,6,20,923,13,89.270492,86.976744
6,212,220,2,70,18,1,2,2.152593,6,20,923,13,88.947046,86.976744
2,103,103,0,5,994,1,2,0.748293,1,8,665,6,92.197834,89.060372
13,384,452,2,59,1286,1,7,2.865566,1,61,2466,46,91.86892,88.982786
2,103,155,1,25,894,1,2,0.996364,1,17,483,4,95.284988,95.591126
11,420,558,1,10,2553,1,4,2.893098,1,37,2229,5,90.869705,88.858035
1,17,33,0,8,95,1,1,0,1,1,112,1,93.649,90.534145
23,4138,4138,23,10,3827,1,2,4.207378,4,382,20842,168,95.446453,95.344877
4,502,502,2,25,350,1,3,1.024935,1,63,3053,25,96.65945,96.495655
2,94,94,1,16,749,1,2,0.550984,1,8,322,2,96.410216,96.645161
2,148,152,1,4,757,1,2,0.464811,1,11,829,10,91.607071,86.852086
13,2158,2202,7,84,206,1,6,2.9922,1,281,13228,138,91.175491,89.134438
2,33,43,1,6,913,1,2,0.85418,5,0,59,0,92.157023,90.995671
2,37,45,1,71,458,1,2,0.764205,1,2,237,1,91.573672,91.011236
1,2,2,0,72,0,1,1,0,6,0,22,0,93.094911,91.105354
2,18,26,0,19,0,1,2,0.930586,3,3,122,1,91.377176,87.116837
9,1543,1547,3,64,0,1,5,1.950149,3,250,8598,143,89.194159,87.872683
15,423,571,0,65,309,1,8,3.227673,3,48,2142,19,91.245355,90.664557
6,195,209,1,20,361,1,4,2.100466,4,13,1106,13,90.595094,89.303691
3,343,431,2,20,527,1,3,1.465314,1,63,2321,10,94.930275,94.835854
3,343,431,2,19,150,1,3,1.465314,0,63,2321,10,95.037091,94.835854
15,448,558,2,85,1572,2,9,2.64052,4,173,6860,76,94.413092,94.835854
5,331,449,2,77,373,1,5,1.686085,0,23,1586,19,95.593661,94.835854
2,33,43,1,6,911,1,2,0.85418,1,0,59,0,91.675555,90.995671
2,33,43,1,3,8,1,2,0.85418,0,0,59,0,92.47317,90.995671
2,33,43,1,6,911,1,2,0.85418,1,0,59,0,91.675555,90.995671
3,334,422,2,21,1,1,3,1.449527,1,60,2274,10,93.347505,91.046061
2,331,331,2,0,0,1,2,0.907894,0,60,2303,10,93.355332,91.046061
2,37,45,1,71,415,1,2,0.764205,1,2,237,1,92.229627,91.011236
1,2,2,0,72,0,1,1,0,4,0,22,0,92.097063,91.105354
7,125,551,3,70,245,1,7,2.215483,1,40,1219,1,93.281453,90.795699
10,116,640,3,87,1219,1,9,2.521167,2,149,3388,59,92.913356,90.795699
2,18,26,0,19,18,1,2,0.930586,3,9,380,6,90.428174,87.116837
9,1543,1547,3,64,29,1,5,1.950149,2,514,16226,245,88.776494,87.872683
327,1938,8490,7,85,705,2,64,6.88724,1,293,10654,163,86.918561,87.891101
2,37,45,1,71,458,1,2,0.764205,1,2,237,1,91.573672,91.011236
1,2,2,0,72,0,1,1,0,4,0,22,0,92.097063,91.105354
2,18,26,0,19,0,1,2,0.930586,3,9,380,6,88.084629,87.116837
9,1543,1547,3,64,0,1,5,1.950149,2,514,16226,245,88.65913,87.872683
15,423,571,0,65,327,1,8,3.227673,3,199,6732,88,91.179675,90.664557
15,423,571,0,64,1117,1,8,3.227673,2,48,2142,19,91.480679,90.664557
15,423,571,0,65,309,1,8,3.227673,3,199,6732,88,91.185911,90.664557
331,1889,9247,8,86,700,2,65,6.831652,1,264,9830,166,86.363111,86.443515
331,1889,9247,8,88,2993,2,65,6.831652,2,380,12474,204,86.432363,86.443515
6,195,209,1,22,115,1,4,2.100466,4,165,8116,100,89.800381,89.303691
21,1446,1464,13,81,138,1,10,3.768278,3,87,5498,68,90.143563,88.337574
20,1446,1462,13,22,60,1,9,3.758443,4,239,12539,155,90.017988,88.337574
39,2028,2152,15,88,375,1,20,4.568679,3,129,9375,93,89.975891,87.483981
