@relation 'FinalSampleData_test-weka.filters.unsupervised.attribute.Remove-R2-26,28_predicted'

@attribute NMF numeric
@attribute predicteda2a numeric
@attribute a2a numeric

@data
2,99.057258,100
10,96.898505,99.955725
1,99.822455,100
2,99.057258,100
5,97.069877,100
0,99.79615,100
1,99.822455,100
77,92.010134,99.853819
2,99.057258,100
11,95.47549,100
7,97.103814,100
1,99.822455,99.997271
1,99.822455,100
30,95.523573,99.786491
0,99.79615,100
0,99.79615,100
0,99.79615,100
2,99.057258,100
1,99.822455,100
1,99.822455,100
600,93.169257,93.98392
2,99.057258,95.063045
604,75.882566,91.243116
604,75.882566,91.243116
610,75.882566,91.227068
612,75.882566,91.227068
3,98.756871,92.592109
616,75.882566,91.244962
616,75.882566,91.244962
616,75.882566,91.230651
616,75.882566,91.230651
617,75.882566,91.229642
617,75.882566,91.229642
617,75.882566,91.229642
620,75.882566,91.227284
619,75.882566,91.227284
619,75.882566,91.227284
619,75.882566,91.227284
3,98.756871,94.413027
621,75.882566,90.542367
621,75.882566,90.542367
621,75.882566,90.542367
623,75.882566,90.534368
623,75.882566,90.534368
628,75.882566,90.534368
635,75.882566,90.522134
636,75.882566,90.522134
639,75.882566,90.522134
647,75.882566,90.512626
647,75.882566,90.512626
647,75.882566,90.512626
648,75.882566,90.512626
655,75.882566,90.512626
659,75.16714,90.505799
659,75.16714,90.505799
663,28.801755,90.497946
664,28.801755,90.497946
665,28.20527,90.493053
670,21.641758,90.469621
669,21.641758,90.481214
673,21.641758,90.484555
673,21.641758,90.484555
673,21.641758,90.484555
674,21.641758,90.484555
674,21.641758,90.485584
675,21.641758,90.485584
679,21.641758,90.154451
679,21.641758,90.154451
679,21.641758,90.154451
681,21.641758,90.154451
679,21.641758,90.161295
680,21.641758,90.156374
680,21.641758,90.156374
680,21.641758,90.156374
8,97.575077,97.431328
2,99.057258,93.854905
690,21.641758,92.631579
690,21.641758,92.631579
690,21.641758,92.631579
806,16.035813,92.631579
11,95.47549,94.918299
811,16.035813,91.389414
833,16.035813,91.283615
821,16.035813,91.987772
822,16.035813,91.987772
822,16.035813,91.987772
822,16.035813,91.987772
113,89.102003,96.80161
4,97.540903,95.999739
957,16.035813,91.379014
958,16.035813,91.379014
960,16.035813,91.817528
962,16.035813,91.455483
4,97.540903,94.500116
968,16.035813,92.45525
969,16.035813,92.44998
989,16.035813,92.443634
991,16.035813,92.443634
991,16.035813,92.443634
991,16.035813,92.443634
425,82.786753,93.635539
37,95.713256,95.532834
3,98.756871,97.471555
17,95.880206,93.200985
13,96.282289,96.380523
171,92.910771,92.912257
8,97.575077,93.9703
3,98.756871,94.884479
1,99.822455,95.786318
6,96.846014,96.637168
32,95.676666,91.065254
64,90.074998,91.360691
64,90.074998,91.360691
9,96.743116,91.149416
20,94.637569,91.180863
2,99.057258,94.831839
2,99.057258,90.945867
3,98.756871,92.878367
23,97.258654,92.448973
14,94.474316,93.64814
5,97.069877,94.98981
3,98.756871,94.979108
6,96.846014,94.982811
10,96.898505,94.968168
0,99.79615,100
2,99.057258,100
1,99.822455,99.850523
1,99.822455,100
0,99.79615,100
0,99.79615,100
0,99.79615,100
0,99.79615,100
14,94.474316,99.778024
7,97.103814,100
13,96.282289,99.607073
2,99.057258,99.907236
3,98.756871,100
1,99.822455,100
2,99.057258,100
0,99.79615,100
5,97.069877,99.857296
1,99.822455,100
0,99.79615,100
1,99.822455,100
0,99.79615,100
1,99.822455,100
2,99.057258,99.831081
0,99.79615,100
0,99.79615,100
1,99.822455,100
2,99.057258,99.872774
1,99.822455,100
0,99.79615,100
3,98.756871,99.768161
0,99.79615,100
2,99.057258,100
9,96.743116,100
1,99.822455,100
8,97.575077,99.43958
1,99.822455,100
1,99.822455,100
1,99.822455,100
0,99.79615,100
3,98.756871,99.776885
0,99.79615,100
1,99.822455,100
1,99.822455,100
1,99.822455,100
1,99.822455,100
1,99.822455,100
0,99.79615,100
0,99.79615,100
1,99.822455,100
0,99.79615,100
1,99.822455,99.84985
0,99.79615,100
18,95.181581,99.610558
1,99.822455,100
2,99.057258,99.815055
0,99.79615,100
0,99.79615,100
5,97.069877,99.857296
0,99.79615,100
2,99.057258,100
1,99.822455,100
1,99.822455,100
0,99.79615,100
0,99.79615,100
1,99.822455,100
0,99.79615,100
1,99.822455,100
4,97.540903,100
0,99.79615,100
7,97.103814,99.715909
0,99.79615,100
0,99.79615,100
1,99.822455,100
2,99.057258,100
2,99.057258,99.776119
2,99.057258,99.964552
0,99.79615,100
0,99.79615,100
2,99.057258,100
0,99.79615,100
1,99.822455,100
2,99.057258,100
0,99.79615,100
0,99.79615,100
2,99.057258,100
3,98.756871,100
1,99.822455,100
0,99.79615,100
0,99.79615,100
11,95.47549,99.686083
2,99.057258,100
1,99.822455,100
0,99.79615,100
1,99.822455,99.011299
1,99.822455,100
1,99.822455,100
1,99.822455,100
0,99.79615,100
0,99.79615,100
1,99.822455,100
3,98.756871,99.830795
7,97.103814,98.500914
1,99.822455,100
0,99.79615,100
2,99.057258,100
0,99.79615,100
2,99.057258,100
25,96.564144,99.889527
1,99.822455,100
0,99.79615,100
0,99.79615,100
1,99.822455,100
1,99.822455,100
2,99.057258,100
0,99.79615,100
1,99.822455,100
3,98.756871,100
1,99.822455,100
2,99.057258,100
16,95.494816,98.997326
8,97.575077,99.543379
1,99.822455,100
0,99.79615,100
2,99.057258,100
1,99.822455,100
1,99.822455,100
0,99.79615,100
6,96.846014,100
1,99.822455,99.980119
5,97.069877,98.968254
1,99.822455,100
1,99.822455,100
4,97.540903,99.426386
1,99.822455,100
2,99.057258,100
1,99.822455,100
1,99.822455,100
1,99.822455,100
2,99.057258,99.86532
0,99.79615,100
0,99.79615,100
0,99.79615,100
1,99.822455,100
1,99.822455,100
2,99.057258,100
0,99.79615,100
4,97.540903,100
1,99.822455,100
0,99.79615,100
3,98.756871,100
12,95.61896,99.623803
1,99.822455,100
0,99.79615,100
2,99.057258,100
1,99.822455,100
1,99.822455,100
0,99.79615,100
0,99.79615,100
2,99.057258,98.944989
1,99.822455,100
1,99.822455,99.885123
1,99.822455,100
2,99.057258,100
1,99.822455,100
1,99.822455,100
1,99.822455,99.873897
0,99.79615,100
2,99.057258,100
0,99.79615,100
0,99.79615,100
1,99.822455,100
1,99.822455,100
0,99.79615,100
1,99.822455,100
0,99.79615,100
1,99.822455,100
0,99.79615,100
1,99.822455,100
0,99.79615,100
0,99.79615,100
2,99.057258,100
0,99.79615,100
9,96.743116,99.775449
0,99.79615,100
146,91.918798,94.043528
147,93.428372,94.043528
146,91.918798,94.043528
146,91.918798,94.043528
146,91.918798,94.043528
147,93.428372,94.043528
146,91.918798,94.043528
146,91.918798,94.043528
147,93.428372,94.043528
148,93.021216,94.043528
148,93.021216,94.043528
148,93.021216,94.043528
148,93.021216,94.043528
148,93.021216,94.043528
148,93.021216,94.043528
149,91.13159,94.043528
148,93.021216,94.043528
148,93.021216,94.043528
148,93.021216,94.043528
150,68.112675,93.971767
148,93.021216,94.033549
148,93.021216,94.033549
6,96.846014,96.496159
2,99.057258,96.1395
178,88.895283,93.262012
179,91.719424,93.262012
179,91.719424,93.262012
179,91.719424,93.262012
232,89.723098,93.205706
182,89.263358,93.262012
182,89.263358,93.262012
183,90.786687,93.262012
183,90.786687,93.262012
183,90.786687,93.262012
183,90.786687,93.262012
184,90.997942,93.262012
185,91.756058,93.262012
185,91.756058,93.262012
185,91.756058,93.262012
184,90.997942,93.262012
184,90.997942,93.262012
184,90.997942,93.262012
184,90.997942,93.262012
184,90.997942,93.262012
184,90.997942,93.262012
185,91.756058,93.262012
184,90.997942,93.262012
187,92.350732,93.13192
208,91.519595,92.715356
208,91.519595,92.715356
237,76.437914,93.205706
208,91.519595,92.715356
271,87.679034,87.581815
202,87.874328,87.723333
209,90.821546,92.70619
209,90.821546,92.70619
209,90.821546,92.70619
209,90.821546,92.70619
196,88.24566,87.915194
196,88.24566,87.915194
209,90.821546,92.70619
210,89.421559,92.70619
209,90.821546,92.70619
209,90.821546,92.70619
209,90.821546,92.70619
451,81.988066,80.329691
196,88.24566,87.915194
209,90.821546,92.70619
451,81.988066,80.329691
196,88.24566,87.915194
209,90.821546,92.70619
210,89.421559,92.70619
209,90.821546,92.70619
453,89.601807,80.267807
197,88.234241,87.903512
209,90.821546,92.70619
209,90.821546,92.70619
200,88.234241,87.903512
330,85.475954,87.617694
209,90.821546,92.70619
209,90.821546,92.70619
213,92.663535,92.70619
213,92.663535,92.70619
268,88.005586,87.808779
268,88.005586,87.808779
214,91.022097,92.711643
459,87.504967,80.208722
258,87.529843,85.980479
258,87.529843,87.848641
259,87.609204,87.687953
213,92.663535,92.711643
463,84.691405,80.582344
261,87.609204,87.687953
213,92.663535,92.711643
465,81.618944,80.582344
261,87.609204,87.687953
218,92.711643,92.711643
465,81.618944,80.582344
259,87.609204,87.687953
218,92.711643,92.711643
218,92.711643,92.711643
218,92.711643,92.711643
267,91.052583,92.546236
334,88.850107,87.466855
260,87.609204,87.687953
259,87.609204,87.687953
336,86.84324,87.466855
258,87.529843,87.705352
260,87.609204,87.674378
273,88.018822,92.533134
272,90.480502,92.533134
274,92.117211,92.4986
274,92.117211,92.4986
274,92.117211,92.4986
274,92.117211,92.4986
274,92.117211,92.4986
274,92.117211,92.4986
274,92.117211,92.4986
274,92.117211,92.4986
274,92.117211,92.4986
274,92.117211,92.4986
274,92.117211,92.4986
274,92.117211,92.4986
274,92.117211,92.4986
274,92.117211,92.4986
274,92.117211,92.4986
275,91.764941,92.4986
275,91.764941,92.079955
275,91.764941,92.079955
275,91.764941,92.079955
275,91.764941,92.079955
275,91.764941,92.079955
523,87.418834,79.738073
259,87.609204,87.649965
278,92.130968,92.478537
278,92.130968,92.478537
276,88.902368,92.079955
275,91.764941,92.203201
274,92.117211,92.043741
275,91.764941,92.079955
275,91.764941,92.079955
275,91.764941,92.079955
275,91.764941,92.079955
278,92.130968,92.079955
278,92.130968,92.079955
278,92.130968,92.079955
279,92.418967,92.079955
526,86.559025,79.738073
258,87.529843,87.649965
258,87.529843,87.649965
258,87.529843,87.649965
258,87.529843,87.649965
259,87.609204,87.649965
258,87.529843,87.649965
262,87.609204,87.619048
278,92.130968,92.079955
528,84.208861,79.708248
273,88.018822,86.935825
273,88.018822,86.935825
276,88.902368,86.935825
279,92.418967,91.784971
537,83.295427,79.109781
271,87.679034,87.274336
271,87.679034,87.274336
274,92.117211,87.274336
281,92.151638,91.784971
541,79.380933,79.109781
277,88.899378,87.274336
282,92.151638,91.784971
542,82.787235,79.109781
541,79.380933,79.109781
541,79.380933,79.109781
276,88.902368,87.274336
289,81.987262,86.419972
343,84.677563,84.578612
343,84.677563,84.578612
343,84.677563,84.578612
341,85.634073,84.578612
346,84.400002,84.50779
345,83.896545,84.50779
604,75.882566,75.687382
603,75.882566,75.687382
604,75.882566,75.712423
604,75.882566,75.712423
2,99.057258,100
1,99.822455,100
2,99.057258,100
0,99.79615,100
1,99.822455,100
1,99.822455,100
3,98.756871,100
1,99.822455,100
1,99.822455,100
3,98.756871,100
4,97.540903,99.843014
3,98.756871,100
0,99.79615,100
14,94.474316,98.850575
1,99.822455,100
0,99.79615,100
0,99.79615,100
2,99.057258,100
0,99.79615,100
0,99.79615,100
1,99.822455,100
0,99.79615,100
0,99.79615,100
2,99.057258,99.918434
0,99.79615,100
0,99.79615,100
4,97.540903,100
0,99.79615,100
5,97.069877,100
3,98.756871,100
1,99.822455,100
2,99.057258,100
11,95.47549,99.793483
0,99.79615,100
0,99.79615,100
1,99.822455,100
0,99.79615,100
1,99.822455,100
1,99.822455,100
1,99.822455,100
23,97.258654,100
1,99.822455,100
0,99.79615,100
1,99.822455,98.940678
0,99.79615,100
8,97.575077,100
0,99.79615,100
4,97.540903,100
0,99.79615,100
0,99.79615,100
25,96.564144,99.850299
5,97.069877,98.065984
2,99.057258,99.44645
0,99.79615,100
0,99.79615,100
2,99.057258,100
1,99.822455,100
2,99.057258,99.608227
22,97.315724,98.524649
0,99.79615,100
1,99.822455,100
0,99.79615,100
2,99.057258,99.852941
14,94.474316,100
3,98.756871,100
0,99.79615,100
0,99.79615,100
0,99.79615,100
0,99.79615,100
6,96.846014,99.697885
19,97.6118,100
2,99.057258,100
1,99.822455,100
1,99.822455,100
0,99.79615,100
0,99.79615,100
2,99.057258,100
0,99.79615,100
18,95.181581,100
0,99.79615,100
0,99.79615,100
0,99.79615,100
3,98.756871,100
1,99.822455,100
0,99.79615,100
0,99.79615,100
0,99.79615,100
0,99.79615,100
1,99.822455,100
0,99.79615,100
0,99.79615,100
0,99.79615,100
2,99.057258,99.943052
5,97.069877,100
0,99.79615,100
0,99.79615,100
0,99.79615,100
0,99.79615,100
0,99.79615,100
0,99.79615,100
7,97.103814,98.139256
1,99.822455,100
0,99.79615,100
32,95.676666,100
2,99.057258,100
0,99.79615,100
0,99.79615,100
0,99.79615,100
0,99.79615,100
2,99.057258,100
0,99.79615,100
2,99.057258,100
0,99.79615,100
0,99.79615,100
1,99.822455,100
1,99.822455,100
4,97.540903,99.915541
0,99.79615,100
0,99.79615,100
0,99.79615,100
1,99.822455,100
0,99.79615,100
0,99.79615,100
21,94.47387,98.664122
11,95.47549,100
0,99.79615,100
1,99.822455,100
2,99.057258,100
2,99.057258,100
1,99.822455,100
0,99.79615,100
1,99.822455,100
0,99.79615,100
0,99.79615,100
2,99.057258,100
0,99.79615,100
0,99.79615,100
0,99.79615,100
3,98.756871,99.617737
1,99.822455,100
1,99.822455,100
0,99.79615,100
1,99.822455,100
0,99.79615,100
0,99.79615,100
0,99.79615,100
2,99.057258,100
0,99.79615,100
4,97.540903,99.728261
0,99.79615,100
0,99.79615,100
0,99.79615,100
1,99.822455,100
2,99.057258,100
0,99.79615,100
1,99.822455,100
0,99.79615,100
2,99.057258,100
0,99.79615,100
19,97.6118,100
4,97.540903,100
0,99.79615,100
0,99.79615,100
1,99.822455,100
0,99.79615,100
7,97.103814,100
0,99.79615,100
0,99.79615,100
1,99.822455,100
0,99.79615,100
2,99.057258,100
0,99.79615,100
0,99.79615,100
0,99.79615,100
0,99.79615,100
0,99.79615,100
11,95.47549,100
0,99.79615,100
2,99.057258,100
0,99.79615,100
0,99.79615,100
0,99.79615,100
2,99.057258,100
2,99.057258,98.635123
0,99.79615,100
2,99.057258,100
1,99.822455,100
0,99.79615,100
2,99.057258,100
1,99.822455,100
0,99.79615,100
0,99.79615,100
2,99.057258,100
1,99.822455,100
1,99.822455,100
1,99.822455,100
1,99.822455,100
4,97.540903,100
0,99.79615,100
1,99.822455,99.947424
1,99.822455,100
1,99.822455,100
1,99.822455,100
3,98.756871,100
0,99.79615,100
1,99.822455,100
0,99.79615,100
0,99.79615,100
4,97.540903,99.869622
1,99.822455,100
1,99.822455,100
0,99.79615,100
0,99.79615,100
0,99.79615,100
0,99.79615,100
0,99.79615,100
0,99.79615,100
5,97.069877,98.991935
32,95.676666,100
0,99.79615,100
0,99.79615,100
2,99.057258,99.838319
0,99.79615,100
0,99.79615,100
0,99.79615,100
1,99.822455,100
0,99.79615,100
5,97.069877,100
1,99.822455,100
0,99.79615,100
0,99.79615,100
0,99.79615,100
0,99.79615,100
4,97.540903,100
0,99.79615,100
8,97.575077,98.375242
1,99.822455,100
0,99.79615,100
0,99.79615,100
1,99.822455,100
2,99.057258,99.975586
2,99.057258,100
1,99.822455,100
1,99.822455,100
0,99.79615,100
7,97.103814,100
0,99.79615,100
0,99.79615,100
1,99.822455,100
0,99.79615,100
229,85.977161,86.807611
229,85.977161,86.807611
229,85.977161,86.807611
229,85.977161,86.807611
229,85.977161,86.807611
229,85.977161,86.807611
229,85.977161,86.807611
229,85.977161,86.807611
229,85.977161,86.807611
229,85.977161,86.807611
229,85.977161,86.807611
229,85.977161,86.807611
235,50.222025,86.280358
236,76.437914,86.206897
236,76.437914,86.12766
236,76.437914,86.12766
236,76.437914,86.12766
236,76.437914,86.12766
237,76.437914,86.12766
236,76.437914,86.12766
236,76.437914,86.12766
236,76.437914,86.12766
236,76.437914,86.12766
236,76.437914,86.12766
240,76.437914,85.835454
239,76.437914,86.046512
239,76.437914,86.046512
239,76.437914,86.046512
239,76.437914,86.046512
8,97.575077,91.555243
36,95.636554,93.822526
20,94.637569,97.388579
53,96.000856,95.670996
10,96.898505,97.435105
1,99.822455,97.432905
95,92.774091,88.80814
33,95.75696,96.160558
509,93.842849,38.875306
2,99.057258,97.204659
225,85.755919,68.274278
19,97.6118,96.998828
744,16.035813,82.60208
744,16.035813,82.556962
744,16.035813,82.65692
744,16.035813,82.65692
744,16.035813,82.65692
745,16.035813,83.253709
745,16.035813,83.253709
745,16.035813,83.253709
745,16.035813,83.253709
745,16.035813,83.253709
745,16.035813,83.253709
749,16.035813,84.767866
749,16.035813,84.767866
749,16.035813,84.767866
749,16.035813,84.767866
749,16.035813,84.707724
748,16.035813,84.639498
748,16.035813,84.639498
748,16.035813,84.639498
749,16.035813,81.65038
748,16.035813,81.687466
748,16.035813,81.687466
750,16.035813,82.094684
750,16.035813,82.094684
750,16.035813,82.094684
750,16.035813,82.094684
750,16.035813,82.094684
750,16.035813,82.094684
750,16.035813,82.094684
750,16.035813,82.133404
750,16.035813,82.133404
750,16.035813,82.133404
750,16.035813,82.133404
750,16.035813,82.133404
750,16.035813,82.133404
750,16.035813,82.133404
750,16.035813,82.133404
750,16.035813,82.133404
750,16.035813,82.133404
750,16.035813,82.133404
14,94.474316,96.548395
750,16.035813,80.953589
750,16.035813,80.953589
750,16.035813,80.953589
3,98.756871,96.615905
3,98.756871,96.615905
413,85.02526,89.075829
404,81.169751,89.304307
404,81.169751,89.304307
416,85.415475,89.085337
416,85.415475,89.085337
416,85.415475,89.085337
416,85.415475,89.085337
416,85.415475,89.085337
416,85.415475,89.085337
416,85.415475,89.085337
16,95.494816,97.754454
429,82.786753,88.954729
431,82.786753,88.891521
433,82.786753,88.891521
433,82.786753,88.891521
433,82.786753,88.891521
436,82.786753,88.849432
468,88.751411,88.734058
468,88.751411,88.734058
468,88.751411,88.734058
471,88.756849,88.70283
3,98.756871,96.970387
474,95.27612,88.291279
484,95.256133,87.907489
485,95.256133,87.907489
485,95.256133,87.907489
485,95.256133,87.907489
485,95.256133,87.907489
485,95.256133,87.907489
485,95.256133,87.907489
485,95.256133,87.907489
485,95.256133,87.907489
486,95.256133,87.86878
486,95.256133,87.86878
486,95.256133,87.86878
486,95.256133,87.86878
486,95.256133,87.86878
486,95.256133,87.86878
486,95.256133,87.86878
486,95.256133,87.86878
17,95.880206,89.631285
493,93.842849,84.924506
493,93.842849,84.924506
493,93.842849,84.924506
493,93.842849,84.924506
493,93.842849,84.924506
494,93.842849,84.924506
493,93.842849,84.924506
493,93.842849,85.054477
493,93.842849,85.054477
494,93.842849,85.054477
493,93.842849,85.054477
493,93.842849,85.054477
493,93.842849,85.054477
493,93.842849,85.054477
493,93.842849,85.054477
493,93.842849,85.054477
494,93.842849,85.054477
17,95.880206,89.631285
28,96.509947,93.925348
28,96.509947,93.925348
32,95.676666,93.925348
28,96.509947,93.925348
28,96.509947,93.925348
27,94.613046,93.925348
27,94.613046,93.925348
27,94.613046,93.925348
27,94.613046,93.925348
27,94.613046,93.925348
28,96.509947,93.925348
28,96.509947,93.925348
30,95.523573,93.925348
28,96.509947,93.925348
28,96.509947,93.925348
27,94.613046,93.925348
29,90.686295,93.925348
27,94.613046,93.925348
29,90.686295,93.925348
27,94.613046,93.925348
27,94.613046,93.925348
27,94.613046,93.925348
29,90.686295,93.876555
27,94.613046,93.962356
28,96.509947,93.962356
27,94.613046,93.962356
27,94.613046,93.962356
27,94.613046,93.868371
28,96.509947,93.868371
27,94.613046,93.868371
27,94.613046,93.868371
27,94.613046,93.868371
29,90.686295,93.800284
27,94.613046,93.874172
27,94.613046,93.874172
27,94.613046,93.874172
27,94.613046,93.874172
28,96.509947,93.874172
28,96.509947,93.874172
28,96.509947,93.874172
28,96.509947,93.874172
28,96.509947,93.874172
29,90.686295,93.874172
28,96.509947,93.874172
30,95.523573,93.826869
28,96.509947,93.874172
28,96.509947,93.874172
3,98.756871,97.760041
36,95.636554,94.165863
36,95.636554,94.165863
36,95.636554,94.165863
37,95.713256,94.165863
36,95.636554,94.165863
36,95.636554,94.165863
39,95.679956,94.117647
38,95.140252,94.117647
38,95.140252,94.093539
39,95.679956,94.093539
38,95.140252,94.093539
54,95.859653,90.253411
54,95.859653,90.253411
55,93.472866,90.253411
55,93.472866,90.253411
59,95.177619,90.253411
59,95.177619,90.253411
60,95.498015,90.253411
59,95.177619,90.253411
59,95.177619,90.253411
59,95.177619,90.253411
59,95.177619,90.253411
59,95.177619,90.253411
59,95.177619,90.253411
59,95.177619,90.253411
59,95.177619,90.253411
1,99.822455,97.970639
59,95.177619,89.860217
59,95.177619,89.860217
60,95.498015,89.860217
61,95.540884,89.860217
60,95.498015,89.860217
65,95.534823,89.83803
60,95.498015,89.860217
62,94.394667,89.860217
62,94.394667,89.860217
62,94.394667,89.860217
62,94.394667,89.860217
62,94.394667,89.860217
62,94.394667,89.824873
62,94.394667,89.824873
62,94.394667,89.824873
63,93.061997,89.824873
67,95.704251,89.824873
66,95.548843,89.824873
66,95.548843,89.824873
74,94.072076,89.600887
74,94.072076,89.600887
74,94.072076,89.600887
74,94.072076,89.600887
86,85.669128,89.553234
86,85.669128,89.553234
87,94.574511,89.553234
107,88.360629,89.242054
107,88.360629,89.242054
107,88.360629,89.242054
